Date,portfolio_value,daily_return,cumulative_return
2024-01-01,5651.100082397461,0.01799609357199805,0.5706799828725361
2024-01-02,5589.0,-0.010989025409565034,0.5644087660400197
2024-01-03,5497.200164794921,-0.016425091287364246,0.5551383005344237
2024-01-04,5637.600082397461,0.025540259294483558,0.5693166766743718
2024-01-05,5675.399917602539,0.006704951513517576,0.5731339173873105
2024-01-08,5610.600082397461,-0.011417668560077754,0.5665900642780431
2024-01-09,5578.200164794921,-0.005774768674778774,0.5633181377234094
2024-01-10,5551.200164794921,-0.00484027091218453,0.5605915253270809
2024-01-11,5583.600082397461,0.005836560859040274,0.5638634518817146
2024-01-12,5980.5,0.07108315634097484,0.6039446457867843
2024-01-15,5980.5,0.0,0.6039446457867843
2024-01-16,6453.0,0.07900677200902928,0.6516603627225347
2024-01-17,6706.799835205079,0.0393305183953323,0.6772905026061022
2024-01-18,6644.700164794921,-0.009259210344132685,0.671019327378389
2024-01-19,7308.900329589844,0.09995938843320595,0.738094008969994
2024-01-23,8318.700164794922,0.13816029630571602,0.8400692959507622
2024-01-24,8734.5,0.04998375070239458,0.8820591102123012
2024-01-25,9169.200164794922,0.04976817960901281,0.9259575864351131
2024-01-29,3779.6992950439453,-0.5877830969863573,0.38169536860226966
2024-01-30,3705.2537536621094,-0.019696154527279797,0.37417743763993233
2024-01-31,3837.1920318603516,0.03560843250420853,0.38750130967273155
2024-02-01,3862.3284606933594,0.006550735179344347,0.39003972813404675
2024-02-02,3982.5486450195312,0.03112634918279067,0.40218024090710786
2024-02-05,4076.0502014160156,0.023477819037669434,0.4116225558236512
2024-02-06,4093.7390747070312,0.004339709379651557,0.41340887809003524
2024-02-07,3999.3785552978516,-0.02304995938607357,0.4038798202402177
2024-02-08,3928.2077026367188,-0.017795477891647704,0.39669258582825023
2024-02-09,3755.169677734375,-0.04405012107333228,0.37921822939362254
2024-02-12,3583.3016967773438,-0.04576836620089164,0.3618620306006815
2024-02-13,3504.402313232422,-0.02201862701538093,0.3538943255178567
2024-02-14,3603.2657775878906,0.028211219922485986,0.36387811616436083
2024-02-15,3733.1756286621094,0.03605336355765121,0.3769971461771078
2024-02-16,3709.8763427734375,-0.006241143789161074,0.3746442527797131
2024-02-19,3746.388885498047,0.009841983762001405,0.37833149543209815
2024-02-20,3742.991973876953,-0.00090671623392935,0.3779884561233831
2024-02-21,3602.535919189453,-0.03752507503830338,0.3638044109437407
2024-02-22,3644.3391723632812,0.01160384076981913,0.36802593939968975
2024-02-23,3610.3291625976562,-0.00933228444364853,0.3645914166505709
2024-02-26,3579.5704650878906,-0.008519637995454854,0.36148522976445796
2024-02-27,3718.379150390625,0.03877802844127731,0.37550291428536575
2024-02-28,3590.9258422851562,-0.034276576688549776,0.36263195984708946
2024-02-29,3595.699920654297,0.0013294839767847844,0.3631140732271762
2024-03-01,3680.046905517578,0.02345773749883251,0.37163190783907113
